,barcodes,leiden_resolution_2_myeloid-dcs,AIFI_L1,AIFI_L2,AIFI_L3
144,74f1d43448b611eabab7c676ab45cfca,10,DC,cDC2,CD14+ cDC2
145,74f3a0ca48b611eabab7c676ab45cfca,8,DC,cDC2,HLA-DRhi cDC2
146,74f5183848b611eabab7c676ab45cfca,10,DC,cDC2,CD14+ cDC2
147,74f6635a48b611eabab7c676ab45cfca,8,DC,cDC2,HLA-DRhi cDC2
148,74fa606848b611eabab7c676ab45cfca,1,DC,pDC,pDC
149,74faa43848b611eabab7c676ab45cfca,12,Monocyte,CD14 monocyte,Core CD14 monocyte
150,74facae448b611eabab7c676ab45cfca,1,DC,pDC,pDC
151,74fc381648b611eabab7c676ab45cfca,21,DC,ASDC,ASDC
152,74fcde4248b611eabab7c676ab45cfca,11,DC,cDC2,HLA-DRhi cDC2
153,74fced0648b611eabab7c676ab45cfca,1,DC,pDC,pDC
154,5ce8ba4c48b111ea8fbed2ddb8e0a14a,14,DC,cDC2,CD14+ cDC2
155,5cea1f6848b111ea8fbed2ddb8e0a14a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
156,5ceaa93848b111ea8fbed2ddb8e0a14a,1,DC,pDC,pDC
157,5ceba16248b111ea8fbed2ddb8e0a14a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
158,5ced641648b111ea8fbed2ddb8e0a14a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
159,5ceed20648b111ea8fbed2ddb8e0a14a,1,Doublet,Doublet,Doublet
160,5cefd7fa48b111ea8fbed2ddb8e0a14a,11,DC,cDC2,HLA-DRhi cDC2
161,5cf02e7648b111ea8fbed2ddb8e0a14a,2,DC,cDC2,HLA-DRhi cDC2
162,5cf1aa4448b111ea8fbed2ddb8e0a14a,24,Doublet,Doublet,Doublet
163,5cf3bcbc48b111ea8fbed2ddb8e0a14a,14,DC,cDC2,CD14+ cDC2
164,5cf40b3648b111ea8fbed2ddb8e0a14a,1,DC,pDC,pDC
165,5cf5383a48b111ea8fbed2ddb8e0a14a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
166,5cf6902248b111ea8fbed2ddb8e0a14a,4,DC,pDC,pDC
167,5cfaadba48b111ea8fbed2ddb8e0a14a,1,DC,pDC,pDC
168,5cfb5a3048b111ea8fbed2ddb8e0a14a,17,DC,cDC1,cDC1
169,5cfdece648b111ea8fbed2ddb8e0a14a,21,DC,ASDC,ASDC
170,5d05cb4648b111ea8fbed2ddb8e0a14a,12,DC,cDC2,CD14+ cDC2
171,5d0a1e3048b111ea8fbed2ddb8e0a14a,19,DC,cDC2,CD14+ cDC2
172,5d24a84048b111ea8fbed2ddb8e0a14a,8,DC,cDC2,HLA-DRhi cDC2
173,5d2622d848b111ea8fbed2ddb8e0a14a,1,DC,pDC,pDC
174,5d270e7848b111ea8fbed2ddb8e0a14a,23,Doublet,Doublet,Doublet
175,6cc8428048b511ea87c666a4322bd84a,17,DC,cDC1,cDC1
176,6ccd0aea48b511ea87c666a4322bd84a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
177,6cd23cf448b511ea87c666a4322bd84a,4,DC,pDC,pDC
178,6cd282ea48b511ea87c666a4322bd84a,14,DC,cDC2,CD14+ cDC2
179,6cd2884448b511ea87c666a4322bd84a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
180,6cd39a1848b511ea87c666a4322bd84a,5,Monocyte,CD14 monocyte,Core CD14 monocyte
181,6cd3d0c848b511ea87c666a4322bd84a,14,DC,cDC2,CD14+ cDC2
182,6cd4751448b511ea87c666a4322bd84a,8,DC,cDC2,HLA-DRhi cDC2
183,6cd6695048b511ea87c666a4322bd84a,15,DC,cDC2,CD14+ cDC2
184,6cd9404e48b511ea87c666a4322bd84a,5,Monocyte,CD14 monocyte,Core CD14 monocyte
185,6cdb010e48b511ea87c666a4322bd84a,0,DC,pDC,pDC
186,6cdb52ee48b511ea87c666a4322bd84a,1,DC,pDC,pDC
187,6cdd247a48b511ea87c666a4322bd84a,4,DC,pDC,pDC
188,6ce60fb848b511ea87c666a4322bd84a,12,Monocyte,CD14 monocyte,Core CD14 monocyte
189,6ce7eea048b511ea87c666a4322bd84a,1,DC,pDC,pDC
190,6ce7f1b648b511ea87c666a4322bd84a,0,DC,pDC,pDC
191,6cee496c48b511ea87c666a4322bd84a,0,DC,pDC,pDC
192,6cf18a1448b511ea87c666a4322bd84a,9,DC,cDC2,HLA-DRhi cDC2
193,6cf2860848b511ea87c666a4322bd84a,7,Monocyte,CD14 monocyte,Core CD14 monocyte
194,6cf41f2c48b511ea87c666a4322bd84a,3,Monocyte,CD14 monocyte,Core CD14 monocyte
195,6cfa3a6048b511ea87c666a4322bd84a,10,DC,cDC2,CD14+ cDC2
196,6cfb85c848b511ea87c666a4322bd84a,21,DC,ASDC,ASDC
197,6cfc0dea48b511ea87c666a4322bd84a,0,DC,pDC,pDC
198,6cfcfb2448b511ea87c666a4322bd84a,0,DC,pDC,pDC
199,6cfeaa5a48b511ea87c666a4322bd84a,9,DC,cDC2,HLA-DRhi cDC2
200,6d01de3248b511ea87c666a4322bd84a,1,DC,pDC,pDC
201,6d01e64848b511ea87c666a4322bd84a,8,DC,cDC2,HLA-DRhi cDC2
202,6d02aa9248b511ea87c666a4322bd84a,8,DC,cDC2,HLA-DRhi cDC2
203,6d0509a448b511ea87c666a4322bd84a,13,DC,cDC2,ISG+ cDC2
204,6d06401248b511ea87c666a4322bd84a,11,DC,cDC2,HLA-DRhi cDC2
205,6d06a00248b511ea87c666a4322bd84a,22,DC,pDC,pDC
206,6d06aa9848b511ea87c666a4322bd84a,7,Monocyte,CD14 monocyte,Core CD14 monocyte
207,6d07810c48b511ea87c666a4322bd84a,12,Monocyte,CD14 monocyte,Core CD14 monocyte
208,6d11d95448b511ea87c666a4322bd84a,23,Doublet,Doublet,Doublet
209,6d172b5c48b511ea87c666a4322bd84a,19,DC,cDC2,CD14+ cDC2
210,46ab9bcc488011eaa581ba6d6c7b9f21,9,DC,cDC2,HLA-DRhi cDC2
211,46ac8f3c488011eaa581ba6d6c7b9f21,11,DC,cDC2,HLA-DRhi cDC2
212,46aee6d8488011eaa581ba6d6c7b9f21,1,DC,pDC,pDC
213,46af1c20488011eaa581ba6d6c7b9f21,15,DC,cDC2,CD14+ cDC2
214,46b002fc488011eaa581ba6d6c7b9f21,8,DC,cDC2,HLA-DRhi cDC2
215,46b23ee6488011eaa581ba6d6c7b9f21,8,DC,cDC2,HLA-DRhi cDC2
216,46b302c2488011eaa581ba6d6c7b9f21,0,DC,pDC,pDC
217,46b6716e488011eaa581ba6d6c7b9f21,20,Doublet,Doublet,Doublet
218,46b82748488011eaa581ba6d6c7b9f21,10,DC,cDC2,CD14+ cDC2
219,46b9adf2488011eaa581ba6d6c7b9f21,4,DC,pDC,pDC
220,46bf80ec488011eaa581ba6d6c7b9f21,5,Monocyte,CD14 monocyte,Core CD14 monocyte
221,46c47ff2488011eaa581ba6d6c7b9f21,16,DC,cDC2,CD14+ cDC2
222,46c508e6488011eaa581ba6d6c7b9f21,1,DC,pDC,pDC
223,46c5b8fe488011eaa581ba6d6c7b9f21,11,DC,cDC2,HLA-DRhi cDC2
224,46c92a98488011eaa581ba6d6c7b9f21,9,DC,cDC2,HLA-DRhi cDC2
225,46ca8cf8488011eaa581ba6d6c7b9f21,18,Doublet,Doublet,Doublet
226,46cc3314488011eaa581ba6d6c7b9f21,8,DC,cDC2,HLA-DRhi cDC2
227,46cebcb0488011eaa581ba6d6c7b9f21,16,DC,cDC2,CD14+ cDC2
228,46cef1c6488011eaa581ba6d6c7b9f21,1,DC,pDC,pDC
229,46d18cec488011eaa581ba6d6c7b9f21,8,DC,cDC2,HLA-DRhi cDC2
230,46d3e60e488011eaa581ba6d6c7b9f21,11,DC,cDC2,HLA-DRhi cDC2
231,46d42c04488011eaa581ba6d6c7b9f21,15,DC,cDC2,CD14+ cDC2
232,46d829d0488011eaa581ba6d6c7b9f21,8,DC,cDC2,HLA-DRhi cDC2
233,46d855d6488011eaa581ba6d6c7b9f21,11,DC,cDC2,HLA-DRhi cDC2
234,46dd8966488011eaa581ba6d6c7b9f21,9,DC,cDC2,HLA-DRhi cDC2
235,46e16a9a488011eaa581ba6d6c7b9f21,3,Monocyte,CD14 monocyte,Core CD14 monocyte
236,4aae9964495111eaafc966679ef8dfee,14,DC,cDC2,CD14+ cDC2
237,4aaf8950495111eaafc966679ef8dfee,6,Monocyte,CD14 monocyte,Core CD14 monocyte
238,4ab28fce495111eaafc966679ef8dfee,11,DC,cDC2,HLA-DRhi cDC2
239,4ab484f0495111eaafc966679ef8dfee,9,DC,cDC2,HLA-DRhi cDC2
240,4ab941e8495111eaafc966679ef8dfee,12,DC,cDC2,CD14+ cDC2
241,4ac085f2495111eaafc966679ef8dfee,9,DC,cDC2,CD14+ cDC2
242,4ac09ed4495111eaafc966679ef8dfee,11,DC,cDC2,HLA-DRhi cDC2
243,4ac6c23c495111eaafc966679ef8dfee,1,DC,pDC,pDC
244,4ac7ca60495111eaafc966679ef8dfee,5,Monocyte,CD14 monocyte,Core CD14 monocyte
245,4ac8e012495111eaafc966679ef8dfee,0,DC,pDC,pDC
246,4ac8f304495111eaafc966679ef8dfee,0,DC,pDC,pDC
247,4acbeb18495111eaafc966679ef8dfee,3,Monocyte,CD14 monocyte,Core CD14 monocyte
248,4acc2812495111eaafc966679ef8dfee,6,DC,cDC2,CD14+ cDC2
249,4ace8dbe495111eaafc966679ef8dfee,10,Monocyte,CD14 monocyte,Core CD14 monocyte
250,4ad4ca94495111eaafc966679ef8dfee,1,DC,pDC,pDC
251,4ad5d60a495111eaafc966679ef8dfee,9,DC,cDC2,HLA-DRhi cDC2
252,4ad77a3c495111eaafc966679ef8dfee,3,Doublet,Doublet,Doublet
253,4ad81960495111eaafc966679ef8dfee,1,DC,pDC,pDC
254,4ad8ef48495111eaafc966679ef8dfee,8,DC,cDC2,HLA-DRhi cDC2
255,4ad96e0a495111eaafc966679ef8dfee,16,DC,cDC2,CD14+ cDC2
256,5474361e495311ea86cade558b2f8879,9,DC,cDC2,CD14+ cDC2
257,547746ba495311ea86cade558b2f8879,20,Doublet,Doublet,Doublet
258,54791a44495311ea86cade558b2f8879,8,DC,cDC2,HLA-DRhi cDC2
259,547a3898495311ea86cade558b2f8879,11,DC,cDC2,HLA-DRhi cDC2
260,547c4bba495311ea86cade558b2f8879,18,Doublet,Doublet,Doublet
261,5480ee18495311ea86cade558b2f8879,7,Monocyte,CD14 monocyte,Core CD14 monocyte
262,54842830495311ea86cade558b2f8879,12,Monocyte,CD14 monocyte,Core CD14 monocyte
263,54847d76495311ea86cade558b2f8879,22,DC,pDC,pDC
264,54852b5e495311ea86cade558b2f8879,1,DC,pDC,pDC
265,548546f2495311ea86cade558b2f8879,0,DC,pDC,pDC
266,54858568495311ea86cade558b2f8879,18,Doublet,Doublet,Doublet
267,5486f95c495311ea86cade558b2f8879,11,DC,cDC2,HLA-DRhi cDC2
268,5489e8ce495311ea86cade558b2f8879,12,DC,cDC2,CD14+ cDC2
269,548c940c495311ea86cade558b2f8879,4,DC,pDC,pDC
270,548e7bb4495311ea86cade558b2f8879,18,Doublet,Doublet,Doublet
271,549e2f0a495311ea86cade558b2f8879,14,DC,cDC2,CD14+ cDC2
272,54b6da1e495311ea86cade558b2f8879,21,DC,pDC,pDC
273,54bc4936495311ea86cade558b2f8879,12,Monocyte,CD14 monocyte,Core CD14 monocyte
274,54bcba06495311ea86cade558b2f8879,12,Monocyte,CD14 monocyte,Core CD14 monocyte
275,54bccd16495311ea86cade558b2f8879,4,DC,pDC,pDC
276,54be48ee495311ea86cade558b2f8879,1,DC,pDC,pDC
277,54beef7e495311ea86cade558b2f8879,11,DC,cDC2,HLA-DRhi cDC2
278,54bf4280495311ea86cade558b2f8879,4,DC,pDC,pDC
279,54c57114495311ea86cade558b2f8879,20,Doublet,Doublet,Doublet
280,54cd6194495311ea86cade558b2f8879,9,DC,cDC2,HLA-DRhi cDC2
281,54cdf6ae495311ea86cade558b2f8879,21,DC,ASDC,ASDC
282,54da5bc4495311ea86cade558b2f8879,8,DC,cDC2,HLA-DRhi cDC2
283,cea9c2fa48bd11ea90c5123d9a376d13,12,Monocyte,CD14 monocyte,Core CD14 monocyte
284,ceaa13a448bd11ea90c5123d9a376d13,23,Doublet,Doublet,Doublet
285,ceace4bc48bd11ea90c5123d9a376d13,9,Monocyte,CD14 monocyte,Core CD14 monocyte
286,ceb4261e48bd11ea90c5123d9a376d13,12,Monocyte,CD14 monocyte,Core CD14 monocyte
287,cec796c248bd11ea90c5123d9a376d13,15,Monocyte,CD14 monocyte,Core CD14 monocyte
288,cec96e5248bd11ea90c5123d9a376d13,2,DC,cDC2,HLA-DRhi cDC2
289,cecef62448bd11ea90c5123d9a376d13,10,DC,cDC2,CD14+ cDC2
290,ced736e048bd11ea90c5123d9a376d13,3,Monocyte,CD14 monocyte,Core CD14 monocyte
291,cedf613a48bd11ea90c5123d9a376d13,13,DC,cDC2,HLA-DRhi cDC2
292,ceeeb36a48bd11ea90c5123d9a376d13,8,DC,cDC2,HLA-DRhi cDC2
293,cef094fa48bd11ea90c5123d9a376d13,9,DC,cDC2,HLA-DRhi cDC2
294,cefc561e48bd11ea90c5123d9a376d13,18,Doublet,Doublet,Doublet
295,cf03752048bd11ea90c5123d9a376d13,20,Doublet,Doublet,Doublet
296,cf07e92048bd11ea90c5123d9a376d13,3,Monocyte,CD14 monocyte,Core CD14 monocyte
297,cf0ce1d248bd11ea90c5123d9a376d13,8,DC,cDC2,HLA-DRhi cDC2
298,cf11858e48bd11ea90c5123d9a376d13,7,Monocyte,CD14 monocyte,Core CD14 monocyte
299,cf1291ae48bd11ea90c5123d9a376d13,1,DC,pDC,pDC
300,cf15857648bd11ea90c5123d9a376d13,0,DC,pDC,pDC
301,cf17d36c48bd11ea90c5123d9a376d13,2,DC,cDC2,HLA-DRhi cDC2
302,ded30fe448cf11eaacaa42cd98cbd24e,22,DC,pDC,pDC
303,ded3ba0248cf11eaacaa42cd98cbd24e,17,DC,cDC1,cDC1
304,ded4b65a48cf11eaacaa42cd98cbd24e,22,DC,pDC,pDC
305,ded4e3d248cf11eaacaa42cd98cbd24e,9,DC,cDC2,HLA-DRhi cDC2
306,dedb39e448cf11eaacaa42cd98cbd24e,3,Monocyte,CD14 monocyte,Core CD14 monocyte
307,dedda24c48cf11eaacaa42cd98cbd24e,1,DC,pDC,pDC
308,dede32b648cf11eaacaa42cd98cbd24e,1,DC,pDC,pDC
309,dedf81fc48cf11eaacaa42cd98cbd24e,12,DC,cDC2,CD14+ cDC2
310,dee2a81e48cf11eaacaa42cd98cbd24e,6,Monocyte,CD14 monocyte,Core CD14 monocyte
311,dee375fa48cf11eaacaa42cd98cbd24e,2,DC,cDC2,HLA-DRhi cDC2
312,dee51b7648cf11eaacaa42cd98cbd24e,9,DC,cDC2,CD14+ cDC2
313,dee58dc248cf11eaacaa42cd98cbd24e,12,Monocyte,CD14 monocyte,Core CD14 monocyte
314,dee84c9c48cf11eaacaa42cd98cbd24e,5,Monocyte,CD14 monocyte,Core CD14 monocyte
315,dee8936448cf11eaacaa42cd98cbd24e,0,DC,pDC,pDC
