,leiden_resolution_1.5_t-cd8-naive,AIFI_L3,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3_Final
0,0,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
1,1,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
2,2,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
3,3,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
4,4,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
5,5,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
6,6,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
7,7,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
8,8,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
9,9,SOX4+ naive CD8 T cell,T cell,Yes,Naive CD8 T cell,Yes,Yes
10,10,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
11,11,Core naive CD8 T cell ,T cell,Yes,Naive CD8 T cell,Yes,Yes
12,12,CM CD8 T cell,T cell,Yes,Memory CD8 T cell,Yes,Yes
